Category,Subcategory,Title,URL,MotionID
Función legislativa,Proposición de ley de Grupos Parlamentarios del Congreso.,"Proposición de Ley Orgánica sobre la suspensión del calendario de la implantación de la Ley Orgánica 8/2013, de 9 de diciembre, para la mejora de la calidad educativa.",https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XI&_iniciativas_id=122/000001,122/000001
Función legislativa,Proposición de ley de Grupos Parlamentarios del Congreso.,"Proposición de Ley de modificación del régimen de tasas judiciales, establecido por la Ley 10/2012, de 20 de noviembre, para la exención de las entidades sin fines lucrativos que hayan optado por el régimen fiscal especial de la Ley 49/2002, de 23 de diciembre, de régimen fiscal especial de las entidades sin fines lucrativos y de los incentivos fiscales al mecenazgo, y los sujetos pasivos que tengan la consideración de entidades de reducida dimensión de acuerdo con lo previsto en la normativa reguladora del Impuesto sobre Sociedades.",https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XI&_iniciativas_id=122/000011,122/000011
Función legislativa,Proposición de ley de Grupos Parlamentarios del Congreso.,"Proposición de Ley Orgánica por la que se modifica la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para ampliar el derecho de sufragio activo a los mayores de 16 años.",https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XI&_iniciativas_id=122/000012,122/000012
Función legislativa,Proposición de ley de Grupos Parlamentarios del Congreso.,"Proposición de Ley de reforma de la Ley 9/1968, de 5 de abril, sobre secretos oficiales.",https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XI&_iniciativas_id=122/000014,122/000014
Función legislativa,Proposición de ley de Grupos Parlamentarios del Congreso.,"Proposición de Ley de modificación de la Ley 25/2015, de 28 de julio, de mecanismo de segunda oportunidad, reducción de la carga financiera y otras medidas de orden social.",https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XI&_iniciativas_id=122/000016,122/000016
Función legislativa,Proposición de ley de Grupos Parlamentarios del Congreso.,Proposición de Ley 25 de emergencia social.,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XI&_iniciativas_id=123/000001,123/000001
Función legislativa,Proposición de ley de Grupos Parlamentarios del Congreso.,Propuesta de reforma de la disposición adicional primera del Estatuto de Autonomía de la Comunidad Valenciana (corresponde a los números de expediente 127/000003/0000 de la IX Legislatura y 127/000001/0000 de la X Legislatura).,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XI&_iniciativas_id=127/000001,127/000001
Función legislativa,Proposición de ley de Grupos Parlamentarios del Congreso.,"Real Decreto-Ley 1/2016, de 15 de abril, por el que se prorroga el Programa de Activación para el Empleo.",https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XI&_iniciativas_id=130/000001,130/000001
Función de control,Funciones de la Diputación Permanente.,Dación de Cuentas de la Diputación Permanente del Congreso de los Diputados de la X Legislatura a la Cámara de la XI Legislatura.,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XI&_iniciativas_id=062/000001,062/000001
Función de orientación política,Proposición no de Ley ante el Pleno.,"Proposición no de Ley relativa a recuperar el Pacto de Toledo, como expresión de consenso político, y el diálogo social, con el fin de acordar las medidas que permitan asegurar pensiones dignas y fortalecer la viabilidad del sistema público de pensiones.",https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XI&_iniciativas_id=162/000006,162/000006
