id,title,initiative,author,num_support,num_against,num_abstained,passed,documentcategory,subcategory,topic,Ciudadanos,Más País,PNV,PP,PSOE,CUP,ERC,VOX,EH Bildu,Junts,date,deepseek_7b,falcon3_7b,gemma2_9b,llama3_8b,mistral_7b
042/000002,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,309,2,6,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,,1,1,1,1,,1.0,1.0,1.0,,28/4/2016,1.0,0.0,0.0,1.0,1.0
042/000003,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,550,3,31,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,1.0,1,1,1,1,,1.0,1.0,1.0,,28/4/2016,1.0,0.0,0.0,1.0,1.0
042/000010,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,342,1,7,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,28/4/2016,1.0,0.0,0.0,1.0,1.0
042/000011,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,301,0,15,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,,1,1,1,1,,0.0,1.0,1.0,,28/4/2016,1.0,0.0,0.0,1.0,1.0
042/000012,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,305,1,10,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,,1,1,1,1,,1.0,1.0,0.0,,28/4/2016,1.0,0.0,0.0,1.0,1.0
042/000017,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,313,0,3,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,,1,1,1,1,,1.0,1.0,1.0,,28/4/2016,1.0,0.0,0.0,1.0,1.0
042/000021,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,847,1,184,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,1.0,1,1,1,0,1.0,1.0,1.0,1.0,1.0,28/4/2016,1.0,0.0,0.0,1.0,1.0
042/000023,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,314,0,2,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,,1,1,1,1,,1.0,1.0,1.0,,28/4/2016,1.0,0.0,0.0,1.0,1.0
042/000024,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,310,0,6,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,,1,1,1,1,,1.0,1.0,1.0,,28/4/2016,1.0,0.0,0.0,1.0,1.0
042/000032,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,333,3,13,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,28/4/2016,1.0,0.0,0.0,1.0,1.0
042/000037,Dictamen de la Comisión del Estatuto de los Diputados sobre incompatibilidades.,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,,330,3,16,True,"Comisiones, subcomisiones y ponencias",Funciones de las Comisiones.,,1.0,1,1,1,1,1.0,1.0,1.0,0.0,1.0,28/4/2016,1.0,0.0,0.0,1.0,1.0
110/000004,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000005,"Protocolo adicional al Convenio sobre traslado de personas condenadas, hecho en Estrasburgo el 18 de diciembre de 1997, y Declaración que España desea formular.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000006,"Convenio europeo sobre protección de animales de compañía, hecho en Estrasburgo el 13 de noviembre de 1987, así como Reserva y Declaración que España desea formular.","Convenio europeo sobre protección de animales de compañía, hecho en Estrasburgo el 13 de noviembre de 1987, así como Reserva y Declaración que España desea formular.",,502,136,44,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,0.0,1,0,-1,1,1.0,,,,,16/3/2017,1.0,-1.0,0.0,1.0,1.0
110/000007,"Protocolo adicional al Convenio contra el dopaje, hecho en Varsovia el 12 de septiembre de 2002, y Declaración que España desea formular.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000008,"Segundo Protocolo adicional al Convenio europeo de asistencia judicial en materia penal, hecho en Estrasburgo el 8 de noviembre de 2001, y Declaración que España desea formular.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000009,"Acuerdo de cooperación en materia de defensa entre el Reino de España y la República Oriental del Uruguay, hecho en Montevideo el 26 de marzo de 2015.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000010,"Acuerdo entre el Reino de España y la República Portuguesa de cooperación en materia de defensa, hecho en Baiona el 22 de junio de 2015.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000010,"Denuncia del Acuerdo entre el Reino de España y la Universidad de las Naciones Unidas relativo al Instituto Internacional de la Universidad de las Naciones Unidas para la Alianza de Civilizaciones en Barcelona, hecho en Madrid y Tokio el 28 de junio de 2010.","Denuncia del Acuerdo entre el Reino de España y la Universidad de las Naciones Unidas relativo al Instituto Internacional de la Universidad de las Naciones Unidas para la Alianza de Civilizaciones en Barcelona, hecho en Madrid y Tokio el 28 de junio de 2010.",,307,0,42,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,0.0,1,1,1,1,1.0,0.0,1.0,0.0,0.0,21/2/2019,1.0,0.0,0.0,0.0,1.0
110/000011,"Denuncia del Acuerdo entre el Reino de España y la Universidad de las Naciones Unidas relativo al establecimiento, funcionamiento y ubicación del Instituto Internacional de la Universidad de las Naciones Unidas para la Alianza de Civilizaciones en Barcelona, hecho en Madrid y Tokio el 28 de junio de 2010.","Denuncia del Acuerdo entre el Reino de España y la Universidad de las Naciones Unidas relativo al Instituto Internacional de la Universidad de las Naciones Unidas para la Alianza de Civilizaciones en Barcelona, hecho en Madrid y Tokio el 28 de junio de 2010.",,307,0,42,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,0.0,1,1,1,1,1.0,0.0,1.0,0.0,0.0,21/2/2019,1.0,0.0,0.0,0.0,1.0
110/000011,"Memorando de Entendimiento sobre apoyo logístico en la fase de vida útil (ISS) y actividades de cooperación relativas a los sistemas basados en el Leopard 1 y Leopard 2, hecho el 1 de agosto de 2012, y Declaración que España desea formular.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000012,"Acuerdo de colaboración y cooperación reforzadas entre la Unión Europea y sus Estados miembros, por una parte, y la República de Kazajistán, por otra, hecho en Astaná el 21 de diciembre de 2015.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
